CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0107,0.9964190231908502
C0001,C0137,0.9957034675589188
C0001,C0191,0.9897750537920377
C0002,C0142,0.9892779258181315
C0002,C0177,0.9689587521457055
C0002,C0027,0.9531025083574955
C0003,C0133,0.9657716580145713
C0003,C0190,0.9352823270622797
C0003,C0031,0.9292329779424195
C0004,C0113,0.9889932129003296
C0004,C0102,0.9765869706752892
C0004,C0104,0.9761440271679596
C0005,C0186,0.9978716974263399
C0005,C0159,0.9974050062269475
C0005,C0007,0.9886588488641018
C0006,C0168,0.9764371622546658
C0006,C0158,0.9574669177288163
C0006,C0048,0.9315860031339126
C0007,C0159,0.9907328130916225
C0007,C0005,0.9886588488641018
C0007,C0115,0.9869588849317247
C0008,C0098,0.9334889300483112
C0008,C0109,0.9330187896996037
C0008,C0139,0.931196565503877
C0009,C0198,0.9845904601480153
C0009,C0061,0.9716912993626388
C0009,C0063,0.9702824515407326
C0010,C0166,0.9838137551873402
C0010,C0199,0.9745237912116955
C0010,C0121,0.9574275700435684
C0011,C0107,0.9950674400576907
C0011,C0048,0.9949496185780121
C0011,C0001,0.9886634460493996
C0012,C0102,0.9779181028996548
C0012,C0153,0.9749370146029113
C0012,C0013,0.9736013581326581
C0013,C0155,0.992732109849649
C0013,C0099,0.9844691739811696
C0013,C0104,0.9842593745517431
C0014,C0060,0.999596280672039
C0014,C0198,0.9928479904911157
C0014,C0063,0.9885181983091987
C0015,C0020,0.9924019178588633
C0015,C0058,0.9913075274588976
C0015,C0033,0.9903920490720082
C0016,C0183,0.9877019950612598
C0016,C0055,0.9514806861673625
C0016,C0154,0.9485120485903741
C0017,C0124,0.9825196714012003
C0017,C0075,0.9721731928578913
C0017,C0041,0.945394621552455
C0018,C0067,0.9021366854157596
C0018,C0183,0.8786865324139951
C0018,C0046,0.8769058533085449
C0019,C0172,0.9972879901899749
C0019,C0127,0.9649664046269351
C0019,C0069,0.9344506705978849
C0020,C0058,0.9961308789329927
C0020,C0033,0.9952114682683757
C0020,C0015,0.9924019178588633
